"x","y","ident"
"936665.039104339"," 6539250.21056531",146
"955074.538802591"," 6519882.71195887",147
"914834.806309011"," 6547629.10823777",148
"942819.629269515"," 6558837.15113598",149
"962551.438375173"," 6552226.56668137",150
"988353.378246269"," 6569990.38750745",151
"974587.289532443"," 6571613.19259987",152
"974034.554674087"," 6601500.29017084",153
"965325.056425484"," 6457669.68229654",154
"990792.977612313"," 6471745.96514422",155
"1020623.72504871"," 6476061.43445577",156
"925244.616914479"," 6509604.30927316",157
"948708.935385168"," 6477835.8749321",158
"970607.008313949"," 6496932.33074362",159
"988702.035805058"," 6497626.47213156",160
"1013981.51984575"," 6484671.93602326",161
"943117.890828818"," 6511503.50166565",162
"960622.845831516"," 6535401.74979331",163
"991016.458261606"," 6523092.29774015",164
"990727.442064312"," 6309961.90753741",165
"1016211.73007179"," 6317156.82920044",166
"1045078.87304851"," 6301931.28639342",167
"1066057.70218136"," 6312256.36207474",168
"1025758.52806911"," 6321439.13656774",169
"1034025.20165403"," 6327433.02571888",170
"1053352.53478443"," 6333513.69558203",171
"1012669.96148739"," 6349480.50886553",172
"1036599.1364801"," 6356725.08241769",173
"1053371.94900444"," 6358000.16437352",174
"681613.268833806"," 6275045.09778171",175
"705533.116691491"," 6269260.2813052",176
"724466.110446714"," 6255877.20034122",177
"751321.995040173"," 6248443.68850756",178
"717704.655647955"," 6277417.02838141",179
"740906.438862198"," 6290302.83493261",180
"757088.775635468"," 6279692.80651576",181
"788628.143611613"," 6278927.67968859",182
"740095.209895857"," 6309872.8558481",183
"770056.799166607"," 6308895.41451021",184
"635338.553542579"," 7020691.97363262",185
"670535.47984913"," 7016837.10654308",186
"697226.164519331"," 7014673.9483722",187
"708314.926762227"," 6996430.96587662",188
"592454.020852912"," 7029419.33824405",189
"637871.773218112"," 7054833.04558046",190
"657512.834072039"," 7042531.72009442",191
"697358.962261593"," 7028872.93548978",192
"609036.960347314"," 7075102.30329225",193
"648493.844436789"," 7055545.68372073",194
"625178.909151191"," 7095955.11953832",195
"638990.926730263"," 6955729.85508473",196
"643940.443663386"," 6964595.26164917",197
"673899.939587511"," 6941200.66582219",198
"704193.791868979"," 6956817.4925539",199
"606569.124955788"," 6985752.51967145",200
"628691.404011848"," 6977361.28983053",201
"670828.155802091"," 6984061.39972119",202
"668865.828948267"," 6974495.10071857",203
"689161.797450738"," 6980202.38360821",204
"606677.662923105"," 7004551.37003149",205
"632664.202462698"," 6995679.64063893",206
"646165.167783846"," 7017585.18009848",207
"445688.673464352"," 6197062.44469674",208
"467898.389445415"," 6200570.61883209",209
"487088.597470718"," 6200901.1566132",210
"448523.006883221"," 6220435.20497028",211
"459713.165089285"," 6203095.903074",212
"481570.453478778"," 6227655.06067649",213
"470560.667514598"," 6226178.64599603",214
"485896.014066237"," 6234126.08895603",215
"460456.242235175"," 6266446.55699344",216
"444928.606331119"," 6286845.57008807",217
"669871.958408975"," 6310498.11536615",218
"707766.683326243"," 6312853.88484766",219
"607856.249872793"," 6342616.64240571",220
"643254.408283028"," 6342169.00422188",221
"687180.525598586"," 6341888.83895004",222
"709179.689736246"," 6347330.61612534",223
"618722.963922855"," 6382469.216955",224
"631561.452463138"," 6366416.14687825",225
"684911.926093981"," 6384177.08981979",226
"715558.603942535"," 6389376.99166323",227
"687075.446144216"," 6400167.77922377",228
"380440.191080111"," 6288437.51754351",229
"404177.86062199"," 6295914.92288485",230
"427745.538266449"," 6301538.45211696",231
"378095.129829149"," 6332500.01556576",232
"388304.827497036"," 6319250.33580382",233
"434646.494142784"," 6327054.80011516",234
"462805.414691087"," 6330603.01073697",235
"361478.265019383"," 6354296.17065471",236
"399702.982580916"," 6364909.92294625",237
"408238.656882282"," 6209224.52397301",238
"338490.583120092"," 6237678.57067265",239
"364974.208529704"," 6249217.09657159",240
"413085.504731248"," 6241049.97604132",241
"436067.928487008"," 6217560.30101772",242
"312415.108375942"," 6259571.73773852",243
"346757.569244309"," 6263250.58497787",244
"386614.115112127"," 6270823.13366533",245
"389656.048713337"," 6265016.55345616",246
"453521.065005605"," 6270652.52695997",247
"638667.481070997"," 6132217.41029617",248
"672752.555618994"," 6157003.67149522",249
"617494.662678482"," 6162290.26255351",250
"634659.170257234"," 6180706.0243484",251
"656810.282856226"," 6168923.78153432",252
"692309.338465958"," 6157349.29233942",253
"662785.196933896"," 6188470.44082108",254
"685862.945198707"," 6199407.89251338",255
"539174.493942285"," 6509114.55073868",256
"562962.835409851"," 6512124.45859341",257
"579000.758956655"," 6522585.72212895",258
"594224.769130183"," 6500666.305055",259
"563908.349934206"," 6547827.53575818",260
"560106.182936116"," 6533046.88795695",261
"560667.801357046"," 6558622.08836221",262
"577453.512069307"," 6567766.59839296",263
"561066.545054489"," 6567954.37411596",264
"576749.531956858"," 6576066.53625337",265
"425612.873975455"," 6372516.69131081",266
"448910.156734048"," 6384585.78459315",267
"364888.025786147"," 6402747.46624471",268
"399278.348332114"," 6402437.59549872",269
"422664.437471225"," 6393404.28758596",270
"460944.670200108"," 6392472.04119989",271
"392269.533334143"," 6426404.59052327",272
"431761.134579114"," 6429193.94186738",273
"472811.176379903"," 6440528.30457727",274
"403487.920306466"," 6486445.89943707",275
"425101.318215287"," 6470090.93124315",276
"566293.071659485"," 6594853.94551054",277
"584388.988013501"," 6597731.20547746",278
"610881.860529113"," 6605575.99219595",279
"543824.936937825"," 6635774.12703913",280
"565764.06830197"," 6621972.5408582",281
"605690.771881613"," 6616698.72637745",282
"625195.714489597"," 6629865.68896007",283
"570525.451253371"," 6657950.67394796",284
"585749.985729466"," 6672469.19956702",285
"620209.555237595"," 6662721.05305634",286
"585490.591428364"," 6678025.9588918",287
"351681.741732076"," 6606423.72921716",288
"376501.486431478"," 6594195.35020042",289
"385560.706257259"," 6603681.86311937",290
"333972.50090716"," 6619598.9251428",291
"374744.639983072"," 6643950.75488488",292
"406440.886067597"," 6625098.23236267",293
"319221.423193948"," 6647763.55975868",294
"372765.289656489"," 6663955.11677118",295
"395931.879877483"," 6657650.91568326",296
"496525.444223478"," 6422884.05110255",297
"536276.226669273"," 6421577.90213018",298
"554017.71738704"," 6422005.23613147",299
"473742.894808904"," 6445877.72025739",300
"512129.104377635"," 6441704.33661447",301
"548533.078573367"," 6434890.62063874",302
"579333.839728941"," 6443998.52612068",303
"492946.66221638"," 6480806.18738095",304
"522377.871979682"," 6461829.63517393",305
"556811.193228212"," 6486115.23961546",306
"500537.325064181"," 6557958.00704761",307
"504175.70916423"," 6579593.37012545",308
"517166.589683471"," 6583614.62390218",309
"551358.354950961"," 6600287.94273437",310
"505565.23266667"," 6612249.45655176",311
"535231.300199953"," 6612800.08011581",312
"491099.96320167"," 6636012.36416492",313
"512169.974836138"," 6632669.08998135",314
"464884.210392273"," 6676393.83652628",315
"501024.291547476"," 6668942.93732856",316
"588355.96641513"," 6171375.98461924",317
"540899.455393081"," 6190574.61652216",318
"568994.927282555"," 6177246.9222337",319
"590238.17458643"," 6178095.555727",320
"549978.950200018"," 6207492.80339605",321
"569380.019439495"," 6215543.58055382",322
"601086.431098975"," 6199099.50519944",323
"580138.97518359"," 6226597.97048484",324
"647342.406298187"," 6870695.45937513",325
"645942.226544902"," 6859443.77525986",326
"647465.849119912"," 6846544.32039053",327
"638352.623913591"," 6867317.76687386",328
"652025.316482358"," 6864595.93948978",329
"639465.700152072"," 6849196.07869885",330
"661224.844861547"," 6856153.25623748",331
"659590.958203697"," 6865995.48489431",332
"628702.850095699"," 6857145.01326548",333
"640645.821406819"," 6857579.41154892",334
"644958.086205223"," 6844181.91568124",335
"656822.803058433"," 6852936.98606676",336
"639397.771577664"," 6863495.05611844",337
"640588.564030403"," 6863746.35501913",338
"653535.961574451"," 6879228.74499746",339
"648100.124803143"," 6867438.51350789",340
"643497.834425191"," 6868481.04417512",341
"682781.22367976"," 6560550.3070068",342
"703274.380192404"," 6579461.04719233",343
"729370.002391436"," 6564571.39396503",344
"771369.071907428"," 6568742.7607777",345
"648103.298082439"," 6599293.27255827",346
"673343.627706038"," 6584756.64982353",347
"707624.389617948"," 6602474.88898006",348
"727913.273390071"," 6607297.52592057",349
"755922.355840047"," 6595057.86920678",350
"683280.464747788"," 6615087.89721042",351
"705534.234480245"," 6615256.58832029",352
"717201.383163841"," 6630954.89743263",353
"922983.167749954"," 6817121.43354732",354
"912384.456653272"," 6833566.40515409",355
"950713.717536834"," 6837883.65603451",356
"954963.024368983"," 6850646.61397159",357
"994913.355067555"," 6835295.63410234",358
"915024.810969954"," 6856114.57845565",359
"942227.174779233"," 6862489.03587364",360
"923856.937909623"," 6887639.77018898",361
"923822.502546137"," 6910012.12020995",362
"900776.075704438"," 6922276.93414784",363
"963325.865740876"," 6860959.390228",364
"999794.618836817"," 6852913.41050374",365
"1007548.42696103"," 6861413.07584787",366
"933015.849244544"," 6890565.59758408",367
"960622.92425147"," 6884045.58531622",368
"994642.875585918"," 6879699.21916405",369
"1032137.12300031"," 6883813.4481307",370
"938153.168390268"," 6899718.12611895",371
"968970.639009017"," 6901011.88098064",372
"661175.569171297"," 6716032.02090503",373
"677474.615134946"," 6732451.05076485",374
"584286.545730467"," 6751784.01751112",375
"626891.081164366"," 6745673.0999159",376
"659865.655495065"," 6748344.24391057",377
"660203.061470478"," 6767223.64830918",378
"699509.364917095"," 6744268.16863142",379
"626792.547119557"," 6790591.04031781",380
"653659.273205536"," 6779043.08770681",381
"657513.614868461"," 6796520.40791596",382
"705786.401579308"," 6769408.1307658",383
"1036700.25216066"," 6819771.56550762",384
"1049654.9497582"," 6803958.61599733",385
"1026766.86050487"," 6831712.01093982",386
"1062554.20591123"," 6829934.26557093",387
"1010220.51506792"," 6859717.59180256",388
"1040258.12614615"," 6855349.13425517",389
"1001853.31965658"," 6860514.90304034",390
"1031304.9060863"," 6876317.43231296",391
"1041924.18430838"," 6880593.74650448",392
"1079145.4611176"," 6884574.2732796",393
"1038916.41863994"," 6903927.64769258",394
"782045.689663012"," 6562850.32110097",395
"795431.541858812"," 6555717.76712587",396
"774843.792892155"," 6606689.36823072",397
"812150.280594466"," 6603629.72861664",398
"828993.522119826"," 6596487.09114218",399
"868760.839288718"," 6591195.90073866",400
"793226.298692276"," 6632021.35288433",401
"826506.019472262"," 6619311.71976772",402
"866129.892685115"," 6628188.4904932",403
"797773.164080096"," 6656993.74064382",404
"707216.295073519"," 6710659.27654357",405
"723871.928676707"," 6720457.19544722",406
"734719.236264647"," 6731632.60615749",407
"773150.929072549"," 6724607.49163145",408
"728235.089117406"," 6762415.51439593",409
"754884.476358713"," 6739557.76899902",410
"788004.817305741"," 6756176.07152404",411
"710664.034969849"," 6773871.23396932",412
"757338.377562994"," 6767634.06360368",413
"724338.776413096"," 6801232.60530486",414
"641735.289945643"," 6634369.23975001",415
"654862.968876534"," 6625722.90262084",416
"639728.071271818"," 6647088.95120659",417
"660787.290466525"," 6655754.46530135",418
"682242.645427292"," 6643782.54522925",419
"626344.934749793"," 6680464.0660239",420
"648039.547634818"," 6684818.2022003",421
"682927.044394133"," 6695013.18056505",422
"647443.123437972"," 6700675.67718131",423
"695698.450032329"," 6702536.94025715",424
"733081.59298865"," 6858057.41780874",425
"762870.100660373"," 6863324.37820238",426
"791788.475913746"," 6851194.04884492",427
"826538.053105101"," 6846583.66709919",428
"855933.313232989"," 6850709.1501166",429
"767600.171634119"," 6876619.59383764",430
"797933.48013871"," 6867312.78546282",431
"809227.87627343"," 6886188.72091301",432
"839309.438712106"," 6890726.08705737",433
"776384.74309643"," 6921219.71111562",434
"783647.791105142"," 6896506.39005754",435
"807956.274218373"," 6912066.6953158",436
"735175.669101363"," 6879340.89275587",437
"748630.001060279"," 6910854.01531818",438
"707330.41256789"," 6916662.07334841",439
"747243.653307283"," 6923449.06964222",440
"785721.696147559"," 6918347.94775931",441
"725178.41431435"," 6952842.67561231",442
"731417.632000135"," 6949291.68589134",443
"770728.152178091"," 6950649.33780302",444
"725420.691707468"," 6981935.0661759",445
"751556.562250094"," 6967436.43974445",446
"779071.239980732"," 6971517.43937775",447
"805437.619568428"," 6926165.25951348",448
"835248.121762046"," 6909254.54570487",449
"853385.177122508"," 6924721.1978542",450
"793262.498838726"," 6936071.50905316",451
"808202.113237812"," 6951973.03363603",452
"826506.767811583"," 6947861.6747867",453
"846179.133647201"," 6942291.58789867",454
"813506.494400671"," 6955502.95743151",455
"824053.562691765"," 6964476.39086275",456
"813662.680614138"," 6984630.47251071",457
"688116.241215289"," 6795744.40184256",458
"691164.767140556"," 6804904.89670748",459
"669090.020858243"," 6817596.42852445",460
"684294.155211221"," 6828786.44247048",461
"714019.66765201"," 6844644.35059552",462
"680499.429622698"," 6861355.06670199",463
"726089.645541779"," 6849885.00331737",464
"675486.33291994"," 6879983.40641124",465
"707505.182306315"," 6879932.43877752",466
"731962.820590584"," 6634755.92272566",467
"746539.668354828"," 6652618.54765681",468
"784699.17128721"," 6648892.81293121",469
"720591.116907186"," 6675322.77890369",470
"752247.289989766"," 6685627.49463022",471
"768925.88983217"," 6683919.23702676",472
"703304.024720163"," 6683327.32923827",473
"718414.576105884"," 6704894.22766059",474
"743729.993298341"," 6703016.56256928",475
"707778.556828272"," 7015657.73935079",476
"735217.210279139"," 7011229.70500983",477
"763790.492877135"," 7009364.21921964",478
"708399.141269621"," 7043414.48537509",479
"728741.756548467"," 7025856.33084613",480
"700329.785470327"," 7072332.17634644",481
"704939.94911376"," 7052892.85433862",482
"653910.493234171"," 7086311.03506642",483
"643954.44519218"," 7106851.60976647",484
"682211.771992034"," 7110597.33074437",485
"247217.224796243"," 6811063.71536361",486
"271034.899342005"," 6788222.62260107",487
"279057.385471972"," 6805267.14228535",488
"238509.086828619"," 6840930.01651107",489
"260914.408208003"," 6842858.03496833",490
"293922.59560744"," 6813143.93986943",491
"312608.06274838"," 6838874.78368817",492
"214909.692822704"," 6844097.2049396",493
"234509.800963044"," 6859127.81674895",494
"252900.710522329"," 6853316.96734312",495
"924040.09219576"," 6236991.33262238",496
"972788.926704462"," 6253880.05896671",497
"994140.744348895"," 6255575.48319189",498
"940883.257620412"," 6276955.67392315",499
"964659.25099482"," 6269525.11823772",500
"986611.839807499"," 6271714.19133468",501
"1013204.0680136"," 6266166.62729102",502
"934961.176392067"," 6281049.66947682",503
"954188.401039365"," 6303106.25403993",504
"970242.903698142"," 6299078.21939666",505
"854366.560304965"," 6517525.63488492",506
"906669.128397348"," 6530152.20324797",507
"834906.271390858"," 6552155.21658984",508
"869733.173592444"," 6554908.75151688",509
"888690.339541676"," 6542992.83586656",510
"901900.053610894"," 6556237.66382904",511
"851329.880595635"," 6583710.62226267",512
"882757.507484089"," 6584846.00157616",513
"896363.716265055"," 6578602.81174676",514
"930506.965680102"," 6570980.68615095",515
"861635.610094721"," 6603836.11279604",516
"323897.998472174"," 6759010.61650111",517
"331231.280222951"," 6755693.69080221",518
"316424.675327224"," 6782981.23995331",519
"343348.017453632"," 6772554.04612072",520
"363856.613273204"," 6787625.37932046",521
"397770.401726867"," 6786261.41807087",522
"312067.636637446"," 6813421.35921887",523
"354385.191884308"," 6809929.07668765",524
"355628.511552171"," 6793752.65903141",525
"380618.766921962"," 6803128.55102889",526
"346920.931965529"," 6839610.80587117",527
"660273.268260055"," 6904062.41519702",528
"689796.113736168"," 6905589.29131226",529
"621414.491187416"," 6920788.56739187",530
"635403.670108691"," 6924167.67683317",531
"674297.239533619"," 6918168.45642374",532
"679587.660046466"," 6924479.21134503",533
"618592.260063261"," 6932489.14413236",534
"641843.642786891"," 6930884.4463256",535
"688733.925382779"," 6950718.55324868",536
"481173.511832509"," 6248700.62539688",537
"469807.648245974"," 6273330.57577939",538
"489621.523740257"," 6272524.79799309",539
"518802.910278797"," 6281894.16115855",540
"528865.066569302"," 6278112.03973119",541
"448495.563228413"," 6316840.904994",542
"478784.359586913"," 6306066.95068634",543
"503539.209123015"," 6325205.70059872",544
"513292.367096186"," 6200175.33045321",545
"499305.040166841"," 6220246.19297739",546
"518644.752755861"," 6222971.14195917",547
"556552.785880005"," 6230193.80133748",548
"528147.948386248"," 6240797.39475863",549
"555820.839226319"," 6250307.67896918",550
"589217.732505919"," 6246968.84087061",551
"570331.331433801"," 6258427.15323302",552
"578954.853274905"," 6272689.7066073",553
"585266.816279897"," 6312525.74356693",554
"548926.016821125"," 6296627.41589679",555
"564227.959980438"," 6305902.93091575",556
"531080.06014856"," 6325153.41345411",557
"555489.080024482"," 6342640.59291878",558
"577891.022592033"," 6326810.96962844",559
"581449.64924531"," 6333993.50965121",560
"554558.488519461"," 6358106.70379146",561
"574327.294296766"," 6355496.82120855",562
"576375.682679768"," 6369791.29770833",563
"599389.277611342"," 6350833.88486008",564
"558967.763785624"," 6368675.952156",565
"572074.019813447"," 6352952.65258096",566
"611352.096032937"," 6375408.03407591",567
"559083.034162761"," 6381118.23144466",568
"565829.281925692"," 6384269.36442595",569
"599390.26088978"," 6397978.97109859",570
"621996.121885026"," 6385083.29698913",571
"582417.733168698"," 6408065.92757736",572
"586956.291846585"," 6399107.20776224",573
"602321.15354273"," 6416394.67547105",574
"597835.744731714"," 6428408.12109159",575
"1016807.50636267"," 6737886.16536699",576
"1037935.81459634"," 6734626.56526409",577
"1015904.597271"," 6741208.3123963",578
"1037496.7814792"," 6737237.97142633",579
"1014687.17837124"," 6753744.29507854",580
"1026033.72013625"," 6754630.45576794",581
"1028154.93848058"," 6780312.64217857",582
"1043398.48931842"," 6780677.72263482",583
"1007310.17932645"," 6803952.18043023",584
"658292.938514872"," 6862899.44015935",585
"649728.285675246"," 6868815.39723862",586
"649062.819945835"," 6880117.81324477",587
"655080.488531178"," 6877026.99081817",588
"651428.425046924"," 6863720.43666741",589
"668919.08028944"," 6863748.06920377",590
"644773.66548425"," 6859581.75363614",591
"666683.849282872"," 6864587.78109996",592
"664099.10323154"," 6836378.8176713",593
"660214.897228644"," 6835504.60138432",594
"645293.319767065"," 6847447.08739295",595
"647367.902152381"," 6849432.0133103",596
"666381.042278929"," 6854023.35358392",597
"655785.059260443"," 6854573.14398628",598
"659702.811424344"," 6860163.34171429",599
"660177.536831378"," 6867926.12884216",600
"671973.786866849"," 6843972.96382602",601
"661475.054813689"," 6858581.22114529",602
"338253.145296284"," 6652091.80810837",603
"314775.987909333"," 6686878.71400604",604
"356120.378835175"," 6698842.40595495",605
"303425.307687639"," 6723549.37235685",606
"333303.130934172"," 6719363.92830079",607
"356507.880817216"," 6718119.76679927",608
"394111.844118624"," 6719946.89049525",609
"333668.295758934"," 6744786.36951501",610
"361535.721373793"," 6741527.36880666",611
"398914.919578409"," 6732965.87763204",612
"826999.057982975"," 6499175.39673063",613
"849785.600393883"," 6505900.86249772",614
"817685.11316644"," 6533109.34259315",615
"824142.908463181"," 6529497.45914192",616
"861640.790143799"," 6520793.74893328",617
"814862.602286953"," 6535701.1781897",618
"820318.644824364"," 6546159.83445976",619
"810193.227807972"," 6554268.70119692",620
"829185.026353152"," 6556625.5282511",621
"814445.232636276"," 6577649.00299277",622
"828446.626681761"," 6568846.5904307",623
"822119.988412054"," 6502882.26764268",624
"839068.964225132"," 6502250.97743389",625
"849940.267795837"," 6500448.02530238",626
"848450.886135813"," 6515462.09332568",627
"836898.310263099"," 6520333.50563153",628
"851574.36506278"," 6510430.19939224",629
"839227.508100573"," 6510824.0521188",630
"861669.467681662"," 6519575.16399222",631
"856417.835321666"," 6531397.74850555",632
"839479.19463194"," 6521191.31767176",633
"826807.422562891"," 6534076.39036381",634
"457220.027094578"," 6546915.58134034",635
"468928.997504359"," 6552900.67563988",636
"423876.348758957"," 6587587.54358846",637
"448617.421408987"," 6592205.61586074",638
"420602.3679412"," 6622689.58893354",639
"455877.029217651"," 6603757.85670459",640
"418965.386540538"," 6627440.37951089",641
"448371.078909246"," 6642822.88192983",642
"458524.396123236"," 6656725.53312241",643
"647987.383472071"," 6889350.9830674",644
"613071.59310842"," 6884259.21446244",645
"638626.675151805"," 6879110.49900177",646
"647079.843974942"," 6891065.65231524",647
"647612.086943373"," 6876583.46882156",648
"662342.811152113"," 6882724.48202196",649
"627576.87454213"," 6906299.49879036",650
"631026.639534925"," 6912600.79136719",651
"637470.585920433"," 6895435.66921395",652
"664733.555688545"," 6892994.60513186",653
"530277.559851958"," 6815122.90122404",654
"420122.137073777"," 6819380.61585422",655
"470039.354395627"," 6837260.11546567",656
"506365.545902985"," 6824329.22300189",657
"530319.813910602"," 6820529.07767944",658
"539886.890253792"," 6812063.88596683",659
"434336.068410776"," 6858633.91451597",660
"432234.671099539"," 6841343.20377432",661
"472420.650548807"," 6852035.74519198",662
"496531.459897409"," 6840634.23331421",663
"516302.070921949"," 6861202.27294102",664
"500364.216462361"," 6871349.11158003",665
"420568.247032892"," 6869025.49208589",666
"399711.188516189"," 6901087.23998833",667
"447138.556166529"," 6890695.01963276",668
"461893.305720174"," 6890744.68850922",669
"488144.397713025"," 6883976.4794318",670
"420164.323500898"," 6917571.65081948",671
"426019.627339183"," 6914121.10429871",672
"465771.840654658"," 6912411.58837135",673
"503467.235202682"," 6907054.05378397",674
"824318.266747511"," 6469966.56163304",675
"771423.616646078"," 6483688.28193913",676
"813717.72486634"," 6494688.90133477",677
"814995.95523718"," 6487388.35912826",678
"779983.8665726"," 6527455.70434409",679
"811452.427966626"," 6503426.10642465",680
"766917.630079536"," 6541466.42924892",681
"765263.913682882"," 6541681.81235576",682
"799091.379404174"," 6544575.71694767",683
"782680.824640427"," 6571835.84573807",684
"806668.988670329"," 6559968.1902224",685
"461686.4905984"," 6760873.18621241",686
"479078.148725942"," 6732053.3579601",687
"502832.194349529"," 6747227.27083266",688
"522560.254784335"," 6752300.73842817",689
"453061.376937233"," 6764070.98547244",690
"496379.018138895"," 6762983.4482648",691
"518730.826421675"," 6775990.17147595",692
"482452.724246807"," 6788432.91005297",693
"507469.333430553"," 6798278.63340444",694
"496179.909805568"," 6830841.26693397",695
"401403.580150385"," 6855009.306953",696
